time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensorFMU}.sensor1.lf_1_sensor_reading,{sensorFMU}.sensor2.lf_1_sensor_reading
0.37000000000000016,0.01,-0.524,0.156,-0.33,0.0,2.9600000000000364,0.0,0.0,0.0,254.00000000000006
0.38000000000000017,0.01,-0.524,0.156,-0.33,0.0,3.0399999999999636,0.0,0.0,1.0000000000000002,254.00000000000006
0.3900000000000002,0.01,-0.524,0.156,-0.33,0.0,3.119999999999891,0.0,0.0,1.0000000000000002,254.00000000000006
0.4000000000000002,0.01,-0.524,0.156,-0.33,0.0,3.200000000000273,0.0,0.0,1.0000000000000002,254.00000000000006
0.4100000000000002,0.01,-0.524,0.156,-0.33,0.0,3.2799999999997453,0.0,0.0,0.0,255.00000000000006
0.4200000000000002,0.01,-0.524,0.156,-0.33,0.0,3.3600000000001273,0.0,0.0,1.0000000000000002,254.00000000000006
0.4300000000000002,0.01,-0.524,0.156,-0.33,0.0,3.4400000000000546,0.0,0.0,1.0000000000000002,254.00000000000006
0.4400000000000002,0.01,-0.524,0.156,-0.33,0.0,3.519999999999982,0.0,0.0,1.0000000000000002,255.00000000000006
0.45000000000000023,0.01,-0.524,0.156,-0.33,0.0,3.599999999999909,0.0,0.0,1.0000000000000002,254.00000000000006
0.46000000000000024,0.01,-0.524,0.156,-0.33,0.0,3.6799999999998363,0.0,0.0,1.0000000000000002,254.00000000000006
0.47000000000000025,0.01,-0.524,0.156,-0.33,0.0,3.7599999999997635,0.0,0.0,1.0000000000000002,254.00000000000006
0.48000000000000026,0.01,-0.524,0.156,-0.33,0.0,3.8400000000001455,0.0,0.0,1.0000000000000002,254.00000000000006
0.49000000000000027,0.01,-0.524,0.156,-0.33,0.0,3.919999999999618,0.0,0.0,0.0,254.00000000000006
0.5000000000000002,0.01,-0.524,0.156,-0.33,0.0,4.0,0.0,0.0,1.0000000000000002,254.00000000000006
0.5100000000000002,0.01,-0.524,0.156,-0.33,0.0,4.080000000000382,0.0,0.0,1.0000000000000002,254.00000000000006
